obstacleDetectDistance,carLinearSpeed,carTurningSpeed,servoRange,finishTime
0.9560418,138,120,69,47
0.7036382,102,186,86,68.85938
0.3932673,108,169,32,44.57813
0.2118871,205,177,36,29.73438
0.4969906,241,116,60,207.6406
0.2404412,224,217,74,50.25
0.2041213,232,119,62,22.23438
0.1971745,165,164,32,15.57813
0.6212589,176,145,81,110.5781
0.3528179,235,248,86,21.48438
0.4141037,171,107,67,100.1563
0.7694036,190,163,74,130.125
0.4599225,215,168,62,57.3125
0.3123995,165,150,38,54.92188
0.4319036,186,197,40,72
0.370557,110,159,86,191.0781
0.3522657,177,136,83,11.32813
0.7126737,157,140,76,33.42188
0.9304492,114,110,79,23.07813
0.7180091,145,197,74,170.0313
0.183731,158,164,88,139.125
0.4615985,132,156,55,313.0781
0.3274088,168,169,56,71.92188
0.508695,161,207,74,39.5
0.1040991,135,174,38,15.4375
0.4385388,111,169,42,212.3906
0.4907699,215,186,73,100.2813
0.17541,192,138,66,233.7188
0.1784249,216,219,71,188.4375
0.7239413,169,176,66,32.67188
0.8206007,106,171,42,285.8594
0.4726398,155,224,82,35.35938
0.3990738,147,187,82,352.2656
0.2237918,252,130,46,12.73438
0.7324247,246,122,45,28.375
0.7249993,171,122,36,29.14063
0.807371,174,130,88,122.0469
0.6855318,128,153,54,402.5781
0.8152447,130,106,42,15.82813
0.2107338,229,123,72,55.48438
0.3068994,108,101,74,153.0938
0.1590107,105,164,77,479.2344
0.2272553,156,166,72,139.9844
0.483487,118,155,69,119.1563
0.9387445,185,191,69,74.39063
0.6048337,218,157,41,85.8125
0.9385258,135,161,60,87.14063
0.9058976,191,141,65,65.75
0.5189534,165,158,34,42.3125
0.388033,107,120,56,55.375
0.7800573,129,163,58,85.26563
0.2746394,249,216,69,268.4688
0.2685719,131,183,67,317.7813
0.1033964,222,180,34,9.5
0.2016146,179,142,45,182.0469
0.3615107,237,149,73,28.96875
0.315569,193,154,31,18.57813
0.9327798,119,127,87,69.54688
0.4420127,183,218,31,37.95313
0.4115003,141,186,83,341.3906
0.9546727,249,170,71,27.59375
0.5663106,165,109,61,47.14063
0.9409131,191,169,77,64.78125
0.4621578,125,126,41,216.25
0.2461632,114,227,68,130.1406
0.1408044,105,149,63,81.375
0.7827901,152,161,74,40.59375
0.8126149,180,233,31,54.45313
0.8552763,143,173,84,321.9531
0.4607501,194,170,35,46.04688
0.4451883,125,147,62,210.0156
0.7180238,128,181,32,137.0938
0.2289316,241,169,60,18.92188
0.7815588,147,241,73,20.45313
0.3299996,143,156,31,32.42188
0.7856888,159,115,75,12.6875
0.4326881,109,167,39,42.51563
0.9721835,102,186,79,166.9375
0.8849714,247,141,67,28.35938
0.1993198,248,193,52,19.8125
0.1745718,241,183,39,96.35938
0.5242972,118,151,81,160.2188
0.5286116,132,145,40,175.4844
0.3320596,232,103,65,12.01563
0.4556233,242,221,40,19.34375
0.9167343,168,100,47,108.7656
0.7082148,119,113,59,24.79688
0.9328417,160,120,36,19.65625
0.1213505,222,158,37,9.1875
0.152425,235,174,75,81.5625
0.8578307,155,204,76,257.0938
